team,player_name
Chennai Super Kings,MS Dhoni
Chennai Super Kings,Ruturaj Gaikwad
Chennai Super Kings,Sanju Samson
Chennai Super Kings,Ayush Mhatre
Chennai Super Kings,Dewald Brevis
Chennai Super Kings,Shivam Dube
Chennai Super Kings,Urvil Patel
Chennai Super Kings,Shreyas Gopal
Chennai Super Kings,Anshul Kamboj
Chennai Super Kings,Gurjapneet Singh
Chennai Super Kings,Mukesh Choudhary
Chennai Super Kings,Nathan Ellis
Chennai Super Kings,Akeal Hosein
Chennai Super Kings,Prashant Veer
Chennai Super Kings,Kartik Sharma
Chennai Super Kings,Matthew Short
Chennai Super Kings,Aman Khan
Chennai Super Kings,Sarfaraz Khan
Chennai Super Kings,Matt Henry
Chennai Super Kings,Rahul Chahar
Chennai Super Kings,Zak Foulkes
Gujarat Titans,Shubman Gill
Gujarat Titans,Sai Sudharsan
Gujarat Titans,Tom Banton
Gujarat Titans,Glenn Phillips
Gujarat Titans,Shahrukh Khan
Gujarat Titans,Jos Buttler
Gujarat Titans,Anuj Rawat
Gujarat Titans,Kumar Kushagra
Gujarat Titans,Jason Holder
Gujarat Titans,Rashid Khan
Gujarat Titans,Washington Sundar
Gujarat Titans,Manav Suthar
Gujarat Titans,Rahul Tewatia
Gujarat Titans,Nishant Sindhu
Gujarat Titans,Jayant Yadav
Gujarat Titans,Arshad Khan
Gujarat Titans,Sai Kishore
Gujarat Titans,Kagiso Rabada
Gujarat Titans,Luke Wood
Gujarat Titans,Mohammed Siraj
Gujarat Titans,Prasidh Krishna
Gujarat Titans,Gurnoor Brar
Gujarat Titans,Ishant Sharma
Gujarat Titans,Ashok Sharma
Gujarat Titans,Prithvi Raj Yarra
Kolkata Knight Riders,Ajinkya Rahane
Kolkata Knight Riders,Angkrish Raghuvanshi
Kolkata Knight Riders,Anukul Roy
Kolkata Knight Riders,Harshit Rana
Kolkata Knight Riders,Manish Pandey
Kolkata Knight Riders,Ramandeep Singh
Kolkata Knight Riders,Rinku Singh
